fighter_name,Height,Weight,Reach,Stance,DOB,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,fighting_style
Tom Aaron,,155 lbs.,,,13-Jul-78,0,0%,0,0%,0,0%,0%,0,
Papy Abedi,"5' 11""",185 lbs.,,Southpaw,30-Jun-78,2.8,55%,3.15,48%,3.47,57%,50%,1.3,
Shamil Abdurakhimov,"6' 3""",235 lbs.,"76""",Orthodox,02-Sep-81,2.45,44%,2.45,58%,1.23,24%,47%,0.2,
Danny Abbadi,"5' 11""",155 lbs.,,Orthodox,03-Jul-83,3.29,38%,4.41,57%,0,0%,77%,0,
Hiroyuki Abe,"5' 6""",145 lbs.,,Orthodox,,1.71,36%,3.11,63%,0,0%,33%,0,
Ricardo Abreu,"5' 11""",185 lbs.,,Orthodox,27-Apr-84,3.79,31%,3.98,68%,2.13,42%,100%,0.7,
Daichi Abe,"5' 11""",170 lbs.,"71""",Orthodox,27-Nov-91,3.8,33%,4.49,56%,0.33,50%,0%,0,
David Abbott,"6' 0""",265 lbs.,,Switch,,1.35,30%,3.55,38%,1.07,33%,66%,0,
Klidson Abreu,"6' 0""",205 lbs.,"74""",Orthodox,24-Dec-92,2.05,40%,2.9,55%,0.64,20%,80%,0,
Daniel Acacio,"5' 8""",180 lbs.,,Orthodox,27-Dec-77,3.52,36%,2.85,62%,0.33,20%,81%,0,
Scott Adams,"6' 0""",225 lbs.,,Southpaw,,0,0%,0,0%,0,0%,0%,0,
Juan Adams,"6' 5""",265 lbs.,"80""",Orthodox,16-Jan-92,7.09,55%,4.06,34%,0.91,66%,57%,0,
Anthony Adams,"6' 1""",185 lbs.,"76""",Orthodox,13-Jan-88,3.17,41%,5.93,44%,0,0%,0%,0,
Sam Adkins,"6' 3""",225 lbs.,,Orthodox,26-Apr-65,0,0%,0,0%,0,0%,0%,0,
Israel Adesanya,"6' 4""",185 lbs.,"80""",Switch,22-Jul-89,3.95,49%,2.63,61%,0,0%,82%,0.3,
Zarrukh Adashev,"5' 5""",125 lbs.,"65""",Southpaw,29-Jul-92,1.93,23%,3.35,60%,0,0%,0%,0,
Marcelo Aguiar,"5' 10""",170 lbs.,,Orthodox,,0,0%,0,0%,0,0%,0%,0,
Nick Agallar,"5' 8""",155 lbs.,,Orthodox,13-Jan-79,0.69,11%,4.56,42%,0,0%,0%,0,
Mariya Agapova,"5' 6""",125 lbs.,"68""",Southpaw,07-Apr-97,3.7,50%,4.15,47%,1.23,66%,33%,0.6,
Edwin Aguilar,"5' 10""",185 lbs.,,,,0,0%,0,0%,0,0%,0%,0,
Fabio Aguiar,"6' 0""",185 lbs.,,,10-Feb-88,0,0%,0,0%,0,0%,0%,0,
Jessica Aguilar,"5' 3""",115 lbs.,"63""",Orthodox,08-May-82,4.93,50%,7.19,53%,0.94,25%,50%,0.2,
Kevin Aguilar,"5' 7""",155 lbs.,"73""",Orthodox,07-Sep-88,3.69,37%,4.47,53%,0.19,25%,87%,0,
Christian Aguilera,"5' 9""",170 lbs.,"72""",Switch,25-Nov-91,3.35,41%,4.89,46%,0,0%,0%,0,
Hitomi Akano,"5' 4""",135 lbs.,,Southpaw,27-Jul-74,0.59,45%,2.58,55%,0,0%,8%,0.5,
Mike Aina,"5' 9""",155 lbs.,,Orthodox,,2.87,33%,6.33,59%,0,0%,71%,0,
Rostem Akman,"5' 10""",170 lbs.,"72""",Switch,19-Dec-91,1.8,25%,3.97,57%,1,40%,87%,0,
Omari Akhmedov,"6' 0""",185 lbs.,"73""",Orthodox,12-Oct-87,2.95,35%,2.59,57%,2.63,49%,65%,0.3,
Razak Al-Hassan,"6' 2""",205 lbs.,,Orthodox,14-May-82,3.27,39%,3.14,60%,0.65,14%,57%,0,
Yoshihiro Akiyama,"5' 10""",170 lbs.,"75""",Orthodox,29-Jul-75,3.1,41%,3.62,57%,2.29,67%,92%,1,
Herdem Alacabek,"6' 2""",205 lbs.,"75""",Orthodox,07-Jun-91,3.84,65%,6.66,23%,2.06,50%,42%,0,
Mostapha Al-Turk,"6' 2""",245 lbs.,"77""",Orthodox,14-Jul-73,1.36,19%,3.61,53%,0,0%,0%,0,
Javi Alanis,"5' 6""",135 lbs.,,,,0,0%,0,0%,0,0%,0%,0,
Heili Alateng,"5' 5""",135 lbs.,"66""",Orthodox,14-Dec-91,2.87,32%,5.82,57%,2.33,35%,100%,0,
Brett Albee,,225 lbs.,,,,0,0%,0,0%,0,0%,0%,0,
Amir Albazi,"5' 5""",125 lbs.,"68""",Orthodox,27-Oct-93,4.06,40%,3.15,58%,2.28,75%,66%,0.8,
Wes Albritton,"5' 10""",188 lbs.,,Orthodox,,0,0%,0,0%,0,0%,0%,0,
John Albert,"5' 8""",135 lbs.,"68""",Orthodox,13-Oct-86,3.05,49%,2.82,35%,0,0%,50%,6.1,
Aleksandra Albu,"5' 2""",115 lbs.,"63""",Orthodox,14-Jul-90,4.83,47%,5.56,38%,2.27,50%,77%,0.4,
Junior Albini,"6' 3""",264 lbs.,"74""",Orthodox,15-Mar-91,3.98,51%,6.08,52%,1.54,37%,100%,0,
Israel Albuquerque,,185 lbs.,,Orthodox,,0.32,13%,3.34,25%,0,0%,0%,0,
Juan Alcain,,,,,,0,0%,0,0%,0,0%,0%,0,
Ildemar Alcantara,"6' 2""",185 lbs.,"78""",Orthodox,18-Nov-82,1.93,38%,2.63,50%,2,68%,81%,0.9,
Alfonso Alcarez,"5' 3""",145 lbs.,,,10-Jun-70,0,0%,0,0%,0,0%,0%,0,
Iuri Alcantara,"5' 9""",135 lbs.,"71""",Southpaw,04-Aug-80,2.72,45%,2.79,49%,1.44,62%,60%,0.8,
Gilbert Aldana,"6' 1""",250 lbs.,,Orthodox,25-Aug-77,2.91,54%,6.26,26%,2.57,40%,33%,0,
Hector Aldana,"5' 11""",170 lbs.,"72""",Orthodox,17-Aug-88,3.59,38%,5.08,59%,0.93,100%,0%,0,
Irene Aldana,"5' 9""",135 lbs.,"68""",Orthodox,26-Mar-88,5.52,38%,5.97,61%,0.23,50%,84%,0.1,
JJ Aldrich,"5' 5""",125 lbs.,"67""",Southpaw,29-Sep-92,3.76,41%,4.55,61%,0.8,40%,57%,0,
Jose Aldo,"5' 7""",135 lbs.,"70""",Orthodox,09-Sep-86,3.45,45%,3.52,61%,0.57,56%,91%,0.1,
Kenneth Alexander,"5' 9""",155 lbs.,,Orthodox,25-Sep-77,0.88,19%,2.2,66%,4.71,26%,0%,0,
Jim Alers,"5' 9""",145 lbs.,"71""",Orthodox,14-Oct-86,2.9,40%,4.38,56%,2.26,41%,80%,0.3,
Houston Alexander,"6' 0""",205 lbs.,"72""",Orthodox,22-Mar-72,3.06,54%,3.2,52%,1.19,57%,33%,0,
John Alessio,"5' 10""",155 lbs.,"72""",Orthodox,05-Jul-79,2.1,39%,2.91,54%,1.85,38%,70%,1.2,
Marcio Alexandre Junior,"6' 0""",185 lbs.,"75""",Southpaw,05-May-89,1.61,45%,2.89,42%,0.35,20%,66%,0.7,
Olaf Alfonso,"6' 2""",170 lbs.,,Orthodox,06-Aug-74,1.65,38%,4.77,53%,0.37,7%,22%,0.7,
Pablo Alfonso,"5' 8""",145 lbs.,,,09-May-83,0,0%,0,0%,0,0%,0%,0,
Levi Alford,,,,,,0,0%,0,0%,0,0%,0%,0,
Bill Algeo,"6' 0""",145 lbs.,"73""",Switch,09-Jun-89,6.8,56%,5.31,38%,0.67,33%,62%,0,
Royce Alger,"5' 10""",199 lbs.,,Orthodox,,0,0%,0,0%,0,0%,0%,0,
Amir Aliakbari,"6' 3""",250 lbs.,,,10-Jun-84,0,0%,0,0%,0,0%,0%,0,
Sultan Aliev,"5' 11""",170 lbs.,"74""",Orthodox,17-Sep-84,1.41,45%,2.2,56%,1.76,38%,100%,0,
John Allan,"6' 1""",205 lbs.,"75""",Orthodox,22-Feb-93,2.95,43%,4.01,52%,1.94,71%,50%,1.2,
Arnold Allen,"5' 8""",145 lbs.,"70""",Southpaw,22-Jan-94,3.19,41%,2,67%,1.36,52%,76%,0.5,
George Allen,"6' 2""",205 lbs.,,Open Stance,13-Jan-67,0.8,38%,3.1,43%,0,0%,50%,0,
Ben Alloway,"5' 11""",170 lbs.,"76""",Orthodox,19-Feb-81,1.28,49%,1.9,59%,0.62,50%,26%,0,
Brendan Allen,"6' 2""",185 lbs.,"75""",Orthodox,28-Dec-95,3.55,59%,4.57,39%,1.17,37%,50%,2,
Ricardo Almeida,"6' 0""",170 lbs.,"74""",Orthodox,29-Nov-76,2.02,49%,1.2,61%,3.74,38%,31%,1.2,
Magno Almeida,"6' 0""",155 lbs.,,,06-Jun-85,1.67,36%,2.6,41%,0,0%,40%,5,
Thomas Almeida,"5' 7""",145 lbs.,"70""",Southpaw,31-Jul-91,5.39,44%,4.69,64%,0,0%,75%,0,
Ericka Almeida,"5' 6""",115 lbs.,,Orthodox,05-Mar-89,1.07,39%,3.33,43%,0.5,33%,37%,0,
Mauricio Alonso,"6' 2""",170 lbs.,,,27-Feb-80,5.74,34%,1.91,67%,0,0%,0%,0,
Estefani Almeida,"5' 4""",125 lbs.,,Orthodox,17-Oct-88,3.13,37%,6.07,42%,0,0%,0%,0,
Sarah Alpar,"5' 4""",135 lbs.,"63""",Southpaw,01-Jun-91,2.11,54%,4.76,32%,2.69,28%,50%,0.7,
Rico Altamirano,"5' 10""",170 lbs.,,,,0,0%,0,0%,0,0%,0%,0,
Ali AlQaisi,"5' 6""",135 lbs.,"68""",Orthodox,23-Sep-90,2.43,42%,1.97,56%,3.5,29%,60%,1,
Mike Altman,"5' 10""",185 lbs.,,Orthodox,,1.56,20%,2.08,75%,0,0%,0%,0,
Sean Alvarez,"6' 0""",235 lbs.,,Orthodox,14-Jul-71,0.89,37%,3.25,47%,0,0%,0%,0,
Jaime Alvarez,"5' 8""",125 lbs.,"69""",Orthodox,08-Mar-88,2.73,40%,4.53,56%,1,33%,50%,0,
Joel Alvarez,"6' 3""",155 lbs.,"77""",Orthodox,02-Mar-94,2.84,37%,3.31,53%,0,0%,0%,1.6,
Eddie Alvarez,"5' 9""",155 lbs.,"69""",Orthodox,11-Jan-84,4.32,41%,4.39,55%,2.92,36%,92%,0.5,
Anthony Alves,,,,,,0,0%,0,0%,0,0%,0%,0,
Amilcar Alves,"6' 0""",170 lbs.,,Southpaw,08-Aug-88,0.5,46%,2.02,30%,0,0%,53%,0,
Thiago Alves,"5' 9""",170 lbs.,"70""",Orthodox,03-Oct-83,3.73,41%,3.42,62%,0.71,60%,63%,0.3,
Rafael Alves,"5' 8""",145 lbs.,"68""",Orthodox,10-Oct-90,2.02,45%,3.66,59%,0,0%,100%,1.9,
Warlley Alves,"5' 11""",170 lbs.,"72""",Orthodox,04-Jan-91,3.09,47%,3.62,50%,1.48,54%,75%,1,
Andre Amado,"6' 0""",154 lbs.,,Orthodox,,2.27,24%,5.91,63%,0,0%,20%,0,
Maiara Amanajas dos Santos,"5' 5""",115 lbs.,,Southpaw,11-Jul-87,5.53,35%,24.47,33%,0,0%,100%,0,
Adlan Amagov,"6' 2""",170 lbs.,"76""",Orthodox,30-Oct-86,3.29,47%,0.82,78%,5.84,56%,100%,0,
Sam Alvey,"6' 2""",205 lbs.,"75""",Southpaw,06-May-86,3.17,44%,3.26,55%,0.08,16%,82%,0.1,
Jimmy Ambriz,"6' 2""",315 lbs.,,Southpaw,26-Jan-70,0.83,29%,3.76,40%,3.13,57%,100%,0.8,
Chris Amarante,,185 lbs.,,,,0,0%,0,0%,0,0%,0%,0,
JJ Ambrose,"5' 10""",170 lbs.,,Orthodox,,3.16,69%,6.32,33%,0,0%,50%,0,
Alen Amedovski,"5' 10""",185 lbs.,"74""",Orthodox,06-Apr-88,0.52,28%,3.14,37%,0,0%,0%,0,
Makwan Amirkhani,"5' 10""",145 lbs.,"72""",Southpaw,08-Nov-88,1.42,44%,2.63,51%,3.37,37%,57%,1.4,
Bertrand Amoussou,"5' 8""",190 lbs.,,Orthodox,,6.75,39%,2.01,83%,0,0%,0%,0,
Eryk Anders,"6' 1""",185 lbs.,"75""",Southpaw,21-Apr-87,3.23,46%,4.15,51%,1.62,35%,80%,0.1,
Andy Anderson,"5' 6""",240 lbs.,,,16-Jul-74,0,0%,0,0%,0,0%,0%,0,
Karl Amoussou,"5' 11""",185 lbs.,,Orthodox,21-Nov-85,1.47,34%,2.67,54%,0,0%,25%,1,
Matt Andersen,"6' 2""",230 lbs.,,Southpaw,29-May-71,0,0%,0,0%,0,0%,0%,0,
Lowell Anderson,"5' 6""",160 lbs.,,Orthodox,,0,0%,0,0%,0,0%,0%,0,
Derek Anderson,"6' 0""",155 lbs.,,,02-Feb-90,3.97,37%,3.08,61%,0.34,14%,60%,0,
Corey Anderson,"6' 3""",205 lbs.,"79""",Orthodox,22-Sep-89,4.43,46%,2.22,59%,4.89,50%,83%,0,
Megan Anderson,"6' 0""",145 lbs.,"72""",Orthodox,11-Feb-90,1.76,46%,3.35,37%,0.52,25%,53%,0.5,
Viscardi Andrade,"5' 11""",170 lbs.,"75""",Orthodox,08-Mar-84,3.26,42%,2.77,63%,1.93,50%,66%,0.3,
Alex Andrade,"5' 11""",200 lbs.,,Orthodox,14-May-74,0.2,36%,2.6,53%,0,0%,25%,0.8,
Jermaine Andre,"5' 7""",200 lbs.,,Orthodox,,0,0%,0,0%,0,0%,0%,0,
Jessica Andrade,"5' 1""",115 lbs.,"62""",Orthodox,25-Sep-91,6.38,49%,5.26,53%,3.11,57%,76%,0.4,
Reese Andy,"6' 0""",205 lbs.,,Orthodox,31-Mar-73,2.87,50%,3.5,58%,0.67,20%,40%,0,
Dylan Andrews,"6' 1""",185 lbs.,"74""",Switch,15-Nov-79,2.21,50%,2.72,46%,2.83,50%,57%,0.4,
Julius Anglickas,"6' 3""",205 lbs.,,Orthodox,23-Jul-91,4.62,78%,1.86,50%,4.47,50%,60%,1.1,
Collin Anglin,"5' 9""",145 lbs.,"71""",Orthodox,20-Feb-93,5.87,55%,3.47,58%,3,75%,100%,0,
Magomed Ankalaev,"6' 3""",205 lbs.,"75""",Orthodox,02-Jun-92,3.41,53%,1.78,65%,1.18,33%,85%,0,
Yoji Anjo,"5' 11""",205 lbs.,,Orthodox,28-Mar-67,0,0%,3.13,25%,0,0%,0%,0,
Nina Ansaroff,"5' 5""",115 lbs.,"64""",Orthodox,03-Dec-85,4.81,47%,3.55,54%,0.29,40%,77%,0.6,
Angelo Antonio,,205 lbs.,,Orthodox,,1.09,50%,7.64,50%,0,0%,0%,0,
Adam Antolin,"5' 5""",125 lbs.,"63""",Orthodox,28-Feb-82,5.73,52%,5,69%,0,0%,100%,0,
Gadzhimurad Antigulov,"5' 11""",205 lbs.,"70""",Orthodox,09-Feb-87,2.08,55%,4.21,40%,5.08,36%,0%,1.4,
Azunna Anyanwu,"6' 1""",251 lbs.,,Orthodox,05-Aug-81,2.47,42%,2.47,69%,0.65,100%,0%,0,
Shinsho Anzai,"5' 7""",170 lbs.,"70""",Orthodox,01-Dec-85,3.23,58%,3.75,45%,1.83,16%,75%,0,
Josh Appelt,"5' 10""",255 lbs.,,Southpaw,19-Jun-83,1.35,40%,11.5,32%,0,0%,33%,0,
Aori Qileng,"5' 7""",125 lbs.,,,25-Jun-93,0,0%,0,0%,0,0%,0%,0,
Kenji Arai,"5' 10""",145 lbs.,,Southpaw,05-Oct-79,8.79,27%,10.29,39%,0,0%,0%,0,
Erik Apple,"6' 0""",170 lbs.,,Orthodox,26-Aug-77,0,0%,0.54,81%,0,0%,0%,8.1,
Romie Aram,"5' 10""",170 lbs.,,Orthodox,02-Dec-77,1.8,35%,2.83,50%,2.5,62%,83%,0,
Shinya Aoki,"5' 11""",154 lbs.,,Southpaw,09-May-83,0.97,58%,1.25,58%,2.54,41%,60%,4,
Igor Araujo,"6' 1""",170 lbs.,"77""",Orthodox,06-Dec-80,1.52,42%,2.86,49%,0.86,15%,22%,0.6,
Felipe Arantes,"5' 8""",135 lbs.,"73""",Orthodox,09-Feb-88,2.37,45%,2.66,64%,0.93,47%,41%,0.7,
Julio Arce,"5' 7""",145 lbs.,"70""",Southpaw,27-Oct-89,4.25,36%,2.87,67%,0.58,30%,93%,0.6,
Viviane Araujo,"5' 4""",125 lbs.,"68""",Orthodox,21-Nov-86,4.97,48%,4.84,60%,2.33,64%,94%,0.2,
Art Arciniega,"5' 8""",145 lbs.,,,15-Oct-81,1.53,46%,2.73,51%,0,0%,50%,1,
Tristan Arenal,,155 lbs.,,,,0,0%,0,0%,0,0%,0%,0,
Joey Armstrong,,,,,,0,0%,0,0%,0,0%,0%,0,
Andrei Arlovski,"6' 3""",240 lbs.,"77""",Orthodox,04-Feb-79,3.48,44%,2.83,57%,0.47,36%,78%,0.3,
Akbarh Arreola,"5' 10""",155 lbs.,"71""",Southpaw,14-Jan-83,2.32,45%,4.01,56%,1.07,100%,33%,0.4,
Ricardo Arona,"5' 11""",205 lbs.,,Orthodox,17-Jul-78,1.66,48%,1.15,57%,2.41,48%,58%,1.2,
Chalid Arrab,"5' 11""",205 lbs.,,Orthodox,28-May-75,1.56,34%,1.63,56%,3.05,75%,37%,1,
Austin Arnett,"6' 0""",145 lbs.,"72""",Orthodox,22-Oct-91,4.52,41%,6.38,62%,0.44,18%,57%,0.2,
Matt Arroyo,"5' 10""",170 lbs.,"72""",Orthodox,01-Sep-82,1.62,47%,2.01,58%,2.12,36%,100%,5.3,
Antonio Arroyo,"6' 3""",185 lbs.,"73""",Orthodox,01-Jul-89,3.08,70%,1.72,44%,1.4,41%,32%,0.3,
Gilles Arsene,"5' 9""",190 lbs.,,Southpaw,,0.06,10%,2.45,32%,0,0%,0%,0,
Veta Arteaga,"5' 7""",125 lbs.,,,,3.2,36%,1.92,65%,0,0%,40%,0,
Teddy Ash,"6' 1""",185 lbs.,"73""",Switch,27-Dec-89,7.27,61%,6.8,28%,0,0%,100%,0,
Cesar Arzamendia,"5' 11""",155 lbs.,,Orthodox,31-Jan-91,5.37,45%,5.2,56%,7.32,75%,0%,2.4,
Askar Askar,"5' 7""",145 lbs.,"69""",Orthodox,19-Aug-94,0,0%,0,0%,0,0%,0%,0,
Arman Ashimov,"5' 6""",125 lbs.,,,14-Jan-92,0,0%,0,0%,0,0%,0%,0,
Askar Askarov,"5' 6""",125 lbs.,"67""",Orthodox,09-Oct-92,3.37,55%,2.65,56%,2.75,28%,64%,0,
Cyril Asker,"6' 0""",247 lbs.,"74""",Orthodox,24-Dec-85,3.35,39%,5.82,35%,4.41,62%,100%,0.9,
Scott Askham,"6' 3""",185 lbs.,"75""",Southpaw,20-May-88,3.03,46%,3.52,52%,0.44,18%,65%,0.7,
Ben Askren,"5' 11""",170 lbs.,"73""",Orthodox,18-Jul-84,3.64,49%,5.66,36%,4.33,55%,0%,0.9,
Ibo Aslan,"6' 3""",205 lbs.,,,23-Apr-96,0,0%,0,0%,0,0%,0%,0,
Tom Aspinall,"6' 5""",256 lbs.,"78""",Orthodox,11-Apr-93,7.43,66%,3.06,65%,3.54,100%,0%,1.8,
Bruno Assis,"6' 2""",185 lbs.,,Orthodox,23-May-92,1.27,43%,3.2,36%,2,50%,66%,1,
Junior Assuncao,"5' 9""",145 lbs.,"72""",Orthodox,24-Jun-81,3.31,62%,2.06,44%,2.43,24%,66%,0.7,
Raphael Assuncao,"5' 5""",135 lbs.,"66""",Orthodox,19-Jul-82,3.26,40%,2.33,68%,1.48,38%,80%,0.3,
Bazigit Atajev,"6' 1""",230 lbs.,,Orthodox,,0.87,41%,3.14,49%,1,33%,0%,0,
Rich Attonito,"5' 10""",170 lbs.,"72""",Orthodox,16-Jun-77,2.28,47%,2.13,59%,0.74,37%,75%,0,
Pat Audinwood,"6' 0""",155 lbs.,,Orthodox,16-Apr-86,1.17,12%,4.31,41%,0.8,50%,0%,0,
Olivier Aubin-Mercier,"5' 9""",155 lbs.,"70""",Southpaw,23-Feb-89,2.48,51%,2.97,55%,2.36,33%,70%,0.5,
Jose Augusto,"6' 3""",251 lbs.,,,28-Mar-92,0,0%,0,0%,0,0%,0%,0,
Marcus Aurelio,"5' 10""",155 lbs.,"74""",Orthodox,18-Aug-73,1.42,33%,2.27,59%,1.69,27%,27%,1.3,
David Avellan,"5' 9""",185 lbs.,,Orthodox,,3.33,25%,10,57%,0,0%,0%,0,
Levi Avera,"6' 1""",170 lbs.,,,17-May-82,0,0%,0,0%,0,0%,0%,0,
Blas Avena,"6' 0""",170 lbs.,"74""",Orthodox,30-Jun-83,2.34,47%,3.36,43%,2.37,80%,50%,1.8,
Anthony Avila,"5' 7""",145 lbs.,,,29-Dec-88,0,0%,0,0%,0,0%,0%,0,
Julia Avila,"5' 7""",135 lbs.,"68""",Orthodox,11-May-88,3.1,41%,2.9,54%,0.49,50%,60%,0,
Chris Avila,"5' 10""",145 lbs.,,Orthodox,16-Jan-93,2.37,30%,4.17,48%,0,0%,46%,0,
Saad Awad,"5' 11""",155 lbs.,,,07-Jun-83,2.13,26%,1.87,60%,0.5,16%,100%,0.5,
Abu Azaitar,"5' 9""",185 lbs.,"76""",Orthodox,10-Mar-86,3.2,37%,1.27,57%,1,100%,25%,0,
Javy Ayala,"6' 1""",265 lbs.,,,20-Aug-88,0.83,25%,5,33%,0,0%,0%,0,
Jessin Ayari,"6' 0""",155 lbs.,"73""",Orthodox,31-May-92,3.53,37%,3.59,58%,0,0%,50%,0.3,
Luiz Azeredo,"5' 9""",154 lbs.,,Orthodox,10-Jun-76,2.16,39%,2.76,57%,1.07,50%,45%,0.3,
Ottman Azaitar,"5' 8""",155 lbs.,"71""",Switch,20-Feb-90,8.43,57%,1.76,67%,0,0%,100%,0,
Luciano Azevedo,"6' 3""",161 lbs.,,Orthodox,25-Jun-81,0.76,45%,1.97,27%,2.28,11%,0%,0,
Hunter Azure,"5' 8""",145 lbs.,"69""",Orthodox,02-Mar-92,4.17,52%,1.99,62%,2.52,45%,76%,1.4,
Niklas Backstrom,"6' 1""",145 lbs.,,Orthodox,22-Aug-89,1.12,41%,3.65,40%,2.92,80%,72%,2.2,
Izabela Badurek,"5' 5""",115 lbs.,,Orthodox,11-Jul-91,3.74,71%,4.9,32%,1.75,12%,100%,0,
Miguel Baeza,"6' 2""",170 lbs.,"74""",Orthodox,23-Aug-92,4.64,55%,3.89,50%,0.8,40%,100%,1.2,
Ali Bagautinov,"5' 4""",125 lbs.,"65""",Orthodox,10-Jun-85,2.85,42%,3.09,52%,2.51,36%,65%,0.3,
Seth Baczynski,"6' 3""",170 lbs.,"75""",Orthodox,26-Oct-81,3.08,31%,3.14,51%,0.89,16%,48%,0.8,
Ryan Bader,"6' 2""",205 lbs.,"74""",Orthodox,07-Jun-83,2.82,43%,1.39,71%,3.37,44%,80%,0.4,
Mehdi Baghdad,"6' 1""",155 lbs.,,Orthodox,13-Apr-85,3.13,30%,4.56,46%,0,0%,33%,0,
Melsik Baghdasaryan,"5' 9""",145 lbs.,"70""",Southpaw,28-Jan-92,6.8,64%,3.8,53%,0,0%,75%,0,
Siyar Bahadurzada,"5' 11""",170 lbs.,"73""",Orthodox,17-Apr-84,2.91,40%,3.23,49%,1.32,61%,62%,0.3,
Ignacio Bahamondes,"6' 3""",170 lbs.,"75""",Orthodox,27-Aug-97,8.78,54%,2.66,67%,0,0%,100%,0,
Stephen Banaszak,"6' 0""",145 lbs.,,,07-Dec-90,4.2,47%,1.15,66%,0,0%,100%,1.9,
Jordan Bailey,"5' 9""",145 lbs.,,,,1.74,40%,0.29,0%,4.35,100%,0%,4.3,
Bryan Baker,"6' 3""",185 lbs.,,Orthodox,13-Oct-85,1.78,52%,2.83,45%,0.44,50%,37%,0.9,
Oluwale Bamgbose,"5' 11""",185 lbs.,"78""",Switch,04-Aug-87,2.45,48%,2.7,55%,0.94,33%,37%,0,
Shamar Bailey,"5' 9""",155 lbs.,"75""",Southpaw,22-Sep-82,1.56,20%,3.91,69%,1.5,33%,37%,0,
Scott Baker,"6' 0""",210 lbs.,,,,0,0%,0,0%,0,0%,0%,0,
Marcin Bandel,"5' 10""",155 lbs.,,Orthodox,10-Oct-89,0.79,50%,5.26,23%,0,0%,0%,0,
Humberto Bandenay,"5' 11""",145 lbs.,"71""",Southpaw,04-Sep-94,2.22,41%,4.79,41%,2.9,46%,62%,0.5,
Tae Hyun Bang,"5' 9""",155 lbs.,"71""",Switch,15-Apr-83,2.72,38%,2.07,66%,0.49,33%,57%,0.5,
Maycee Barber,"5' 5""",125 lbs.,"65""",Switch,18-May-98,5.21,52%,3,50%,1.44,40%,80%,0.2,
Yohan Banks,,,,,,0,0%,0,0%,0,0%,0%,0,
Junior Barata,"5' 10""",170 lbs.,,Orthodox,25-Jan-82,4.03,33%,8.46,34%,0,0%,0%,0,
Antonio Banuelos,"5' 5""",135 lbs.,"63""",Orthodox,23-Sep-79,2.69,33%,3.15,58%,1.62,62%,86%,0.4,
Bryan Barberena,"6' 0""",170 lbs.,"72""",Southpaw,03-May-89,5.48,48%,4.7,45%,0.23,28%,60%,0.5,
Renan Barao,"5' 6""",145 lbs.,"70""",Orthodox,31-Jan-87,3.78,36%,3.9,57%,1.49,41%,91%,0.5,
