strikes_acc(%),tkd_acc(%),kd_avg,avg_fgt_t,standing_str(%),clinch_str(%),ground_str(%),head_str(%),body_str(%),leg_str(%),ko/tko(%),dec(%),encoded_target
0.39067055393586003,0.0,0.85,0.26262111167771546,0.99,0.01,0.01,0.62,0.27,0.11,0.25,0.5,3
0.0,0.0,0.0,0.008159102498725139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
0.456,0.0,0.0,0.44518103008669047,0.4,0.6,0.0,0.53,0.32,0.16,0.0,0.0,3
0.5688073394495413,0.0,0.0,0.6073431922488527,0.45,0.34,0.21,0.47,0.47,0.06,0.5,0.33,4
0.34516765285996054,0.0,0.15,0.49413564507904134,0.63,0.3,0.07,0.51,0.27,0.21,0.0,0.0,7
0.4704225352112676,0.0,0.0,0.3972463029066803,0.53,0.45,0.02,0.57,0.34,0.09,0.0,0.0,7
0.5271049596309112,0.0,0.83,0.50790413054564,0.36,0.4,0.24,0.56,0.21,0.23,0.0,0.0,7
0.0,0.0,0.0,0.08363080061193268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
0.616,1.0,0.0,0.3533911269760327,0.12,0.08,0.81,0.77,0.21,0.03,0.5,0.06,7
0.48841354723707664,0.07692307692307693,1.94,0.29984701682814896,0.73,0.16,0.11,0.78,0.11,0.11,1.0,0.0,4
0.4123867069486405,0.45454545454545453,0.44,0.45079041305456413,0.53,0.23,0.24,0.71,0.22,0.07,0.47,0.4,7
0.4973544973544973,0.0,0.0,0.7450280469148395,0.81,0.19,0.0,0.59,0.35,0.06,0.0,0.0,7
0.4495677233429395,0.25,0.0,0.7236104028556859,0.72,0.2,0.08,0.5,0.38,0.12,0.5,0.43,5
0.5306122448979592,0.1,0.0,0.5191228964813871,0.92,0.07,0.01,0.74,0.13,0.13,0.35,0.41,7
0.5212121212121212,0.0,0.0,0.2580316165221826,0.86,0.14,0.0,0.43,0.35,0.22,0.15,0.15,7
0.4230769230769231,0.0,0.0,0.35747067822539524,0.39,0.18,0.43,0.7,0.18,0.11,0.0,0.0,7
0.5821917808219178,0.06666666666666667,0.0,0.36409994900560944,0.81,0.12,0.07,0.56,0.28,0.15,0.57,0.0,1
0.3875,0.0,0.0,0.6022437531871495,0.69,0.19,0.11,0.45,0.34,0.21,0.3,0.1,7
0.4779874213836478,0.0,1.3,0.29678735339112705,0.49,0.2,0.32,0.46,0.2,0.34,0.62,0.38,7
0.42857142857142855,0.0,0.0,0.2937276899541051,1.0,0.0,0.0,0.67,0.33,0.0,0.36,0.18,7
0.3869047619047619,0.8,0.62,0.46098929117797044,0.88,0.06,0.06,0.54,0.1,0.36,0.46,0.43,7
0.34444444444444444,0.0,0.0,0.5711371749107599,0.9,0.03,0.06,0.71,0.16,0.13,0.0,0.0,7
0.43614457831325304,0.0,0.5,0.5925548189699134,0.92,0.06,0.03,0.65,0.17,0.19,0.63,0.13,3
0.47058823529411764,0.3333333333333333,0.0,0.466598674145844,0.5,0.38,0.13,0.44,0.56,0.0,0.57,0.29,2
0.5204081632653061,0.0,0.0,0.5604283528811832,0.16,0.27,0.57,0.7,0.25,0.06,0.31,0.19,7
0.465625,0.0,0.44,0.5548189699133096,0.72,0.15,0.13,0.78,0.11,0.11,0.5,0.17,1
0.49640287769784175,0.3333333333333333,0.38,0.46200917899031113,0.86,0.05,0.09,0.78,0.09,0.14,0.44,0.11,5
0.4532710280373832,0.0,0.72,0.5043345232024478,0.72,0.04,0.24,0.53,0.27,0.21,0.22,0.04,7
0.5263157894736842,0.0,0.39,0.6155022947475779,0.82,0.1,0.08,0.37,0.29,0.34,0.0,0.0,7
0.4527687296416938,0.0,0.0,0.3406425293217747,0.87,0.13,0.0,0.58,0.2,0.22,0.08,0.69,7
0.4394736842105263,0.0,0.0,0.7225905150433454,0.74,0.26,0.0,0.22,0.5,0.29,0.0,0.0,7
0.4184476940382452,0.0,0.33,0.4446710861805201,0.68,0.16,0.17,0.57,0.16,0.27,0.0,0.0,7
0.5030349013657056,0.3333333333333333,1.15,0.43906170321264665,0.81,0.13,0.06,0.6,0.21,0.19,0.69,0.25,7
0.5568862275449101,0.0,0.0,0.653748087710352,0.49,0.33,0.17,0.65,0.16,0.19,0.39,0.11,7
0.4074074074074074,0.3188405797101449,0.13,0.5553289138194799,0.67,0.11,0.22,0.61,0.25,0.14,0.27,0.6,0
0.3394216133942161,0.13043478260869565,0.2,0.6114227434982153,0.95,0.0,0.04,0.67,0.17,0.15,0.33,0.47,7
0.4166666666666667,0.0,0.0,0.23508414074451814,1.0,0.0,0.0,0.8,0.2,0.0,0.0,0.5,7
0.4050632911392405,0.045454545454545456,0.0,0.5165731769505354,0.66,0.01,0.34,0.63,0.09,0.29,0.2,0.2,3
0.3572241183162685,0.21428571428571427,0.0,0.5645079041305457,0.83,0.07,0.1,0.59,0.12,0.29,0.29,0.29,7
0.25,0.0,0.8,0.45079041305456413,1.0,0.0,0.0,0.38,0.38,0.25,0.0,0.0,7
0.3898809523809524,0.20833333333333334,1.11,0.49464558898521166,0.73,0.11,0.16,0.71,0.1,0.19,0.46,0.08,7
0.5277777777777778,0.5,0.0,0.2442631310555839,0.21,0.58,0.21,0.79,0.21,0.0,0.44,0.11,7
0.42018072289156627,0.0,1.01,0.44722080571137185,0.87,0.07,0.06,0.8,0.16,0.04,0.65,0.35,7
0.4084507042253521,0.0,0.0,0.36511983681795007,0.97,0.03,0.0,0.21,0.34,0.45,0.0,0.0,7
0.35639880952380953,0.13636363636363635,0.11,0.510963793982662,0.8,0.06,0.14,0.62,0.13,0.26,0.43,0.3,2
0.5941320293398533,0.125,0.3,0.6134625191228966,0.72,0.17,0.12,0.61,0.28,0.1,0.83,0.17,3
0.5041436464088398,0.15,0.66,0.5527791942886283,0.57,0.11,0.32,0.58,0.17,0.25,0.69,0.23,1
0.4435483870967742,0.3333333333333333,0.0,0.7450280469148395,0.78,0.17,0.05,0.57,0.15,0.28,0.65,0.3,7
0.48906048906048905,0.26666666666666666,0.26,0.3105558388577257,0.7,0.23,0.07,0.63,0.24,0.13,0.13,0.08,0
0.3972457627118644,0.32142857142857145,0.4,0.4987251402345743,0.84,0.12,0.04,0.68,0.18,0.14,0.46,0.23,3
0.4776357827476038,0.0,0.79,0.23610402855685877,0.44,0.19,0.37,0.81,0.16,0.03,0.0,0.0,7
0.4329545454545455,0.1111111111111111,0.0,0.7001529831718512,0.83,0.14,0.03,0.62,0.2,0.18,0.25,0.63,3
0.4070460704607046,0.375,0.72,0.5012748597654259,0.77,0.08,0.16,0.7,0.15,0.16,0.61,0.22,5
