First,Last,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt,
Tom,Aaron,,--,155 lbs.,--,,5,3,0,,tom-aaron
Danny,Abbadi,The Assassin,"5' 11""",155 lbs.,--,Orthodox,4,6,0,,danny-abbadi
Nariman,Abbasov,Bayraktar,"5' 8""",155 lbs.,"66.0""",Orthodox,28,4,0,,nariman-abbasov
David,Abbott,Tank,"6' 0""",265 lbs.,--,Switch,10,15,0,,david-abbott
Hamdy,Abdelwahab,The Hammer,"6' 2""",264 lbs.,"72.0""",Southpaw,5,0,0,,hamdy-abdelwahab
Shamil,Abdurakhimov,Abrek,"6' 3""",235 lbs.,"76.0""",Orthodox,20,8,0,,shamil-abdurakhimov
Hiroyuki,Abe,Abe Ani,"5' 6""",145 lbs.,--,Orthodox,8,15,3,,hiroyuki-abe
Daichi,Abe,,"5' 11""",170 lbs.,"71.0""",Orthodox,6,2,0,,daichi-abe
Papy,Abedi,Makambo,"5' 11""",185 lbs.,--,Southpaw,10,4,0,,papy-abedi
Ricardo,Abreu,Demente,"5' 11""",185 lbs.,--,Orthodox,5,1,0,,ricardo-abreu
Klidson,Abreu,White Bear,"6' 0""",205 lbs.,"74.0""",Orthodox,15,4,0,,klidson-abreu
Daniel,Acacio,,"5' 8""",180 lbs.,--,Orthodox,30,18,0,,daniel-acacio
John,Adajar,The Outlaw,"5' 9""",170 lbs.,"75.0""",Orthodox,6,2,0,,john-adajar
Scott,Adams,,"6' 0""",225 lbs.,--,Southpaw,8,1,0,,scott-adams
Juan,Adams,The Kraken,"6' 5""",265 lbs.,"80.0""",Orthodox,5,3,0,,juan-adams
Anthony,Adams,Sugafoot,"6' 1""",185 lbs.,"76.0""",Orthodox,8,2,0,,anthony-adams
Zarrukh,Adashev,The Lion,"5' 5""",125 lbs.,"65.0""",Southpaw,4,4,0,,zarrukh-adashev
Israel,Adesanya,The Last Stylebender,"6' 4""",185 lbs.,"80.0""",Switch,23,2,0,,israel-adesanya
Sam,Adkins,The Experience,"6' 3""",225 lbs.,--,Orthodox,7,20,2,,sam-adkins
Nick,Agallar,,"5' 8""",155 lbs.,--,Orthodox,24,6,0,,nick-agallar
Mariya,Agapova,Demonslayer,"5' 6""",125 lbs.,"68.0""",Southpaw,10,4,0,,mariya-agapova
Marcelo,Aguiar,,"5' 10""",170 lbs.,--,Orthodox,2,3,1,,marcelo-aguiar
Fabio,Aguiar,,"6' 0""",185 lbs.,--,,17,1,0,,fabio-aguiar
Edwin,Aguilar,Tigre,"5' 10""",185 lbs.,--,,26,19,0,,edwin-aguilar
Jessica,Aguilar,Jag,"5' 3""",115 lbs.,"63.0""",Orthodox,20,8,0,,jessica-aguilar
Kevin,Aguilar,Angel of Death,"5' 7""",155 lbs.,"73.0""",Orthodox,17,5,0,,kevin-aguilar
